file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,scenario,ID
A3052.xlsx,0.04412001287001286,0.04217616778451782,0.03332190056980668,0.04312018663979103,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3053.xlsx,0.019364574005903256,0.03168053735074807,0.026702300759344027,0.03893631963114775,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3056.xlsx,0.06352949507825222,0.033259823924463805,0.03769246011846192,0.027381171814089778,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3057.xlsx,0.12344833118311195,0.09041557849383285,0.09144528841671153,0.0837509966800746,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3058.xlsx,0.025996225996226054,0.02388524945212504,0.02793992510674409,0.02687265453222893,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3059.xlsx,0.022284758138119865,0.036705087038624004,0.02790240150771108,0.043145933107076005,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3060.xlsx,0.05720849855320976,0.04238698290128192,0.04381204135799425,0.03759186698944569,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3062.xlsx,0.029137050275963163,0.03651560609972875,0.03475979948403439,0.0397108533065796,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3063.xlsx,0.03741586796479395,0.01202896736321831,0.0186382665044079,0.009374070305666596,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3066.xlsx,0.025439365284376562,0.03338508169416886,0.02456805172532306,0.0384269051080832,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3071.xlsx,0.07718832833757053,0.044594030633368476,0.04616372823603778,0.03729684970287404,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3072.xlsx,0.10638881272278586,0.07517104644500562,0.07843603783246743,0.0716590894050549,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A4000.xlsx,0.0570418697101821,0.048345146522627475,0.039979341738027495,0.04741962903479829,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A4001.xlsx,0.04701100870455707,0.025846164192657534,0.022563197163387734,0.024309230562792487,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A530.xlsx,0.09587178003003852,0.06500933792127365,0.0687119356312327,0.06021166650762596,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A531.xlsx,0.0515959533038021,0.0359299864313048,0.044077085771259655,0.03330140328657798,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A535.xlsx,0.20899242107220908,0.174613977523314,0.17398637595531796,0.16800925118342083,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A536.xlsx,0.008373449047393098,0.022697610744986392,0.019349606392316303,0.028953038768345256,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A538.xlsx,0.08121877761546642,0.05811251290330613,0.05746343604676885,0.052472120250043865,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A543.xlsx,0.033226381461675614,0.013668892825698695,0.017764327803270467,0.013066188435399948,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
