file,raw_hrr_exact,raw_hrr_within_one,raw_hrr_bin_error,scaled_linear_exact,scaled_linear_within_one,scaled_linear_bin_error,affine_linear_exact,affine_linear_within_one,affine_linear_bin_error,cychrr_t_exact,cychrr_t_within_one,cychrr_t_bin_error,dataset,target,ID
A3012.xlsx,0.5,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Graded-test temporal holdout,load_fraction,
A3013.xlsx,0.5454545454545454,1.0,0.45454545454545453,0.7272727272727273,1.0,0.2727272727272727,0.7272727272727273,1.0,0.2727272727272727,0.8181818181818182,1.0,0.18181818181818182,Graded-test temporal holdout,load_fraction,
A3014.xlsx,1.0,1.0,0.0,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,1.0,0.16666666666666666,Graded-test temporal holdout,load_fraction,
A3018.xlsx,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.7142857142857143,1.0,0.2857142857142857,Graded-test temporal holdout,load_fraction,
A3019.xlsx,0.75,1.0,0.25,0.75,1.0,0.25,0.75,1.0,0.25,0.875,1.0,0.125,Graded-test temporal holdout,load_fraction,
A3020.xlsx,0.6666666666666666,1.0,0.3333333333333333,0.4444444444444444,1.0,0.5555555555555556,0.4444444444444444,1.0,0.5555555555555556,0.4444444444444444,1.0,0.5555555555555556,Graded-test temporal holdout,load_fraction,
A3022.xlsx,0.4444444444444444,1.0,0.5555555555555556,0.4444444444444444,1.0,0.5555555555555556,0.3333333333333333,1.0,0.6666666666666666,0.4444444444444444,1.0,0.5555555555555556,Graded-test temporal holdout,load_fraction,
A3023.xlsx,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,Graded-test temporal holdout,load_fraction,
A3024.xlsx,0.4444444444444444,1.0,0.5555555555555556,0.8888888888888888,1.0,0.1111111111111111,0.8888888888888888,1.0,0.1111111111111111,0.8888888888888888,1.0,0.1111111111111111,Graded-test temporal holdout,load_fraction,
A3027.xlsx,0.5,1.0,0.5,0.6,1.0,0.4,0.7,1.0,0.3,0.9,1.0,0.1,Graded-test temporal holdout,load_fraction,
